X1,X2,X3,C
6.204641271,-0.024561429,-4.980298588,0
6.247754649,0.359347474,-4.772095976,0
6.645912834,1.04095665,-5.033993286,0
5.89728482,0.403238868,-5.146077091,0
6.115611731,0.379083965,-4.932084842,0
6.462625639,0.693111867,-6.144701979,0
6.190957315,0.219409128,-5.662910591,0
6.706106923,0.960684716,-5.706384153,0
6.464388367,0.872577049,-5.434999541,0
7.277187611,0.631245596,-5.65168297,0
6.294809229,-0.239815002,-5.989467613,0
6.958689684,0.550821402,-5.803796846,0
6.940524873,0.627125046,-5.870829034,0
6.13500199,0.764529646,-5.528935734,0
6.385654891,-0.282672974,-6.003981979,0
5.742651235,0.47119882,-5.326543975,0
6.43739314,1.071527066,-5.455285195,0
6.33017324,-0.136802248,-4.906493007,0
6.380119496,0.663349726,-5.799201512,0
6.069911409,0.441378735,-5.466861717,0
5.970467499,0.13223912,-5.161140828,0
7.182699234,-0.041373611,-5.55882222,0
6.848148486,0.232478695,-5.302180314,0
6.228359943,0.236319266,-4.7816681,0
6.583736005,1.061907632,-5.479448393,0
6.70295863,0.027436047,-5.960716515,0
6.090826027,-0.262173202,-5.566401082,0
6.311242587,0.016771656,-5.44149234,0
5.948409222,0.124511578,-5.123679678,0
6.737067528,0.73486705,-6.019498695,0
7.005648238,0.624031661,-5.966837599,0
6.112023288,-0.06478997,-5.876922027,0
5.889941977,0.307168474,-5.88612839,0
6.27799273,0.809557897,-5.723425543,0
6.61492902,-0.017693059,-5.886451456,0
6.067461754,-0.20351923,-5.678687712,0
5.824575491,0.342256671,-5.559752283,0
6.053598176,-0.257543937,-5.725070364,0
6.380617202,0.404524286,-5.112876608,0
6.269488706,-0.059434767,-5.739055568,0
6.618157469,0.321031203,-4.721185225,0
7.011927534,0.943923434,-5.281590936,0
6.759590254,0.801922247,-5.580031889,0
6.647645129,0.812165666,-5.97908885,0
6.658293229,0.692519589,-5.25212256,0
6.321516218,-0.301289306,-5.882839113,0
7.177832658,0.638670834,-5.389886266,0
6.502203999,0.19952141,-5.603916998,0
6.788611226,0.863308817,-5.296439652,0
6.497565787,0.807727838,-5.870500585,0
8.825408094,-6.572188451,2.749471576,1
6.71524537,-7.873787983,2.679183668,1
5.66709206,-8.740875253,2.288255768,1
8.885665639,-8.827193698,2.020508662,1
6.353595973,-6.360063636,2.638203286,1
7.370562319,-9.281715503,3.552873924,1
6.076765184,-7.308384516,3.150320838,1
8.838117432,-9.058755128,1.580415285,1
8.335802693,-8.323416351,2.783445134,1
7.84626178,-7.846597662,2.006703347,1
8.516839388,-9.173468892,1.649943932,1
6.586303586,-8.141915307,3.69531307,1
6.457481679,-9.262440096,2.933915051,1
6.003952264,-8.209085859,3.380897939,1
7.300305063,-8.939752197,1.285315515,1
6.511552003,-6.34215668,2.936863745,1
5.976016761,-8.342002979,2.041828821,1
8.424941897,-8.525759883,2.109291744,1
8.591203573,-8.861637404,2.447344183,1
7.466799526,-7.072666858,2.042510937,1
6.733662875,-7.759565777,2.03607163,1
6.625391126,-8.975385331,2.501861824,1
8.726273401,-8.31277014,0.950633293,1
6.16807723,-8.460232992,2.611661307,1
8.523733574,-9.047384321,1.228230894,1
6.768941291,-8.867902398,2.738016837,1
7.211033071,-7.718129357,0.851286111,1
5.929744427,-7.996419128,1.537192781,1
8.779795181,-7.464850637,3.69126475,1
5.723335757,-8.593564581,1.53304616,1
8.367429943,-6.805199977,1.640318624,1
6.43534753,-6.991200646,0.938838711,1
7.057880987,-9.371197789,1.57332148,1
5.540699887,-7.107865235,2.371479429,1
6.754389283,-6.851406472,4.153636293,1
6.383980777,-7.413572945,3.110068573,1
6.071160769,-6.335459717,3.126568858,1
6.51367615,-7.052698416,1.632642494,1
6.981837901,-6.610265907,1.13691182,1
8.664638238,-6.679750577,2.123912698,1
8.034442786,-8.797389431,2.503306317,1
8.177818286,-9.320166656,2.609004938,1
7.966324416,-8.985762118,2.649538797,1
6.313320597,-6.743565945,2.271058573,1
7.732762356,-7.927493252,1.64181738,1
7.317368272,-9.151486974,2.049955145,1
7.43022239,-7.246285467,2.042772763,1
8.632407685,-6.921499216,3.007982497,1
7.860009235,-6.589494599,1.829775976,1
5.809490948,-8.431272928,2.633821198,1
