X1,X2,X3,C
6.204641271,-0.024561429,-4.980298588,1
6.247754649,0.359347474,-4.772095976,1
6.645912834,1.04095665,-5.033993286,1
5.89728482,0.403238868,-5.146077091,1
6.115611731,0.379083965,-4.932084842,1
6.462625639,0.693111867,-6.144701979,1
6.190957315,0.219409128,-5.662910591,1
6.706106923,0.960684716,-5.706384153,1
6.464388367,0.872577049,-5.434999541,1
7.277187611,0.631245596,-5.65168297,1
6.294809229,-0.239815002,-5.989467613,1
6.958689684,0.550821402,-5.803796846,1
6.940524873,0.627125046,-5.870829034,1
6.13500199,0.764529646,-5.528935734,1
6.385654891,-0.282672974,-6.003981979,1
5.742651235,0.47119882,-5.326543975,1
6.43739314,1.071527066,-5.455285195,1
6.33017324,-0.136802248,-4.906493007,1
6.380119496,0.663349726,-5.799201512,1
6.069911409,0.441378735,-5.466861717,1
5.970467499,0.13223912,-5.161140828,1
7.182699234,-0.041373611,-5.55882222,1
6.848148486,0.232478695,-5.302180314,1
6.228359943,0.236319266,-4.7816681,1
6.583736005,1.061907632,-5.479448393,1
6.70295863,0.027436047,-5.960716515,1
6.090826027,-0.262173202,-5.566401082,1
6.311242587,0.016771656,-5.44149234,1
5.948409222,0.124511578,-5.123679678,1
6.737067528,0.73486705,-6.019498695,1
7.005648238,0.624031661,-5.966837599,1
6.112023288,-0.06478997,-5.876922027,1
5.889941977,0.307168474,-5.88612839,1
6.27799273,0.809557897,-5.723425543,1
6.61492902,-0.017693059,-5.886451456,1
6.067461754,-0.20351923,-5.678687712,1
5.824575491,0.342256671,-5.559752283,1
6.053598176,-0.257543937,-5.725070364,1
6.380617202,0.404524286,-5.112876608,1
6.269488706,-0.059434767,-5.739055568,1
6.618157469,0.321031203,-4.721185225,1
7.011927534,0.943923434,-5.281590936,1
6.759590254,0.801922247,-5.580031889,1
6.647645129,0.812165666,-5.97908885,1
6.658293229,0.692519589,-5.25212256,1
6.321516218,-0.301289306,-5.882839113,1
7.177832658,0.638670834,-5.389886266,1
6.502203999,0.19952141,-5.603916998,1
6.788611226,0.863308817,-5.296439652,1
6.497565787,0.807727838,-5.870500585,1
8.825408094,-6.572188451,2.749471576,2
6.71524537,-7.873787983,2.679183668,2
5.66709206,-8.740875253,2.288255768,2
8.885665639,-8.827193698,2.020508662,2
6.353595973,-6.360063636,2.638203286,2
7.370562319,-9.281715503,3.552873924,2
6.076765184,-7.308384516,3.150320838,2
8.838117432,-9.058755128,1.580415285,2
8.335802693,-8.323416351,2.783445134,2
7.84626178,-7.846597662,2.006703347,2
8.516839388,-9.173468892,1.649943932,2
6.586303586,-8.141915307,3.69531307,2
6.457481679,-9.262440096,2.933915051,2
6.003952264,-8.209085859,3.380897939,2
7.300305063,-8.939752197,1.285315515,2
6.511552003,-6.34215668,2.936863745,2
5.976016761,-8.342002979,2.041828821,2
8.424941897,-8.525759883,2.109291744,2
8.591203573,-8.861637404,2.447344183,2
7.466799526,-7.072666858,2.042510937,2
6.733662875,-7.759565777,2.03607163,2
6.625391126,-8.975385331,2.501861824,2
8.726273401,-8.31277014,0.950633293,2
6.16807723,-8.460232992,2.611661307,2
8.523733574,-9.047384321,1.228230894,2
6.768941291,-8.867902398,2.738016837,2
7.211033071,-7.718129357,0.851286111,2
5.929744427,-7.996419128,1.537192781,2
8.779795181,-7.464850637,3.69126475,2
5.723335757,-8.593564581,1.53304616,2
